Date,Open,High,Low,Close,Volume
2021-06-29,51950,53020,51950,52440,2339900
2021-06-30,52440,53990,52440,52880,2685900
2021-07-01,53190,53280,52660,52710,2194700
2021-07-02,52480,52840,52220,52220,1789100
2021-07-05,52220,52220,51060,51110,2765200
2021-07-06,51110,51550,49770,49770,2639000
2021-07-07,49770,50660,48880,50660,2507000
2021-07-08,50220,50220,49110,49330,1480900
2021-07-09,49240,49330,47770,48260,1787900
2021-07-12,48220,48880,45190,46220,2863900
2021-07-13,46260,46710,44000,45770,2355200
2021-07-14,45780,47290,45340,45780,2585100
2021-07-15,45780,46090,44980,45340,2584200
2021-07-16,45380,47160,45380,47020,2158200
2021-07-19,45820,46670,44670,45740,1851300
2021-07-20,45600,45910,44450,45780,2130300
2021-07-21,45820,47340,45340,46220,2765100
2021-07-22,46220,47470,46090,47200,2237300
2021-07-23,47200,48360,46220,46220,3037100
2021-07-26,46580,46850,45820,46310,1940000
2021-07-27,46670,47020,46360,46360,1442800
2021-07-28,46360,46890,46220,46760,1192400
2021-07-29,46890,46940,46450,46710,1076500
2021-07-30,47560,47690,47110,47650,2339200
2021-08-02,47780,48710,47510,47780,1676900
2021-08-03,48620,51110,48450,50890,7293100
2021-08-04,51340,51740,50670,50670,2882400
2021-08-05,50540,51110,50180,50670,2049200
2021-08-06,51110,51510,50360,50360,3021900
2021-08-09,50310,50540,49600,50270,3219800
2021-08-10,51110,51110,50220,50220,2830600
2021-08-11,50220,50670,49340,49340,2382000
2021-08-12,49340,50180,49110,49380,1833400
2021-08-13,49560,49870,49110,49290,2119300
2021-08-16,49780,50090,49160,49160,3085800
2021-08-17,50000,51700,49450,49450,4887500
2021-08-18,49500,50100,48950,48950,2297700
2021-08-19,48950,52000,48350,52000,3521100
2021-08-20,50000,51000,48600,48850,4953900
2021-08-23,48750,48850,47900,48100,2161000
2021-08-24,48200,48500,47550,47700,1417400
2021-08-25,47700,47700,46500,47300,2057000
2021-08-26,47300,47300,46500,46550,1766200
2021-08-27,46500,47500,45750,47400,2485900
2021-08-30,47500,47650,47050,47050,1414900
2021-08-31,47050,47550,46900,47050,1529600
2021-09-01,47050,47500,47050,47050,1303100
2021-09-06,47200,47900,47100,47500,1926300
2021-09-07,47750,47750,46950,46950,2280200
2021-09-08,47000,47150,46000,46000,2505700
2021-09-09,46100,46200,45650,45650,2696600
2021-09-10,45900,46000,45650,45650,1614600
2021-09-13,45900,46700,45800,46000,1828100
2021-09-14,46150,46450,45950,46000,1419300
2021-09-15,46000,46200,45650,45700,1037000
2021-09-16,45700,45700,43900,43900,15130200
2021-09-17,44000,44600,43400,43400,5567900
2021-09-20,43500,44450,43000,43350,4014800
2021-09-21,42750,43200,42500,42800,4524800
2021-09-22,42800,43450,42700,43050,2845500
2021-09-23,43250,43700,43200,43550,2664100
2021-09-24,43550,43750,43150,43500,3207900
2021-09-27,43500,43750,41600,43050,3000800
2021-09-28,42650,43500,42600,43250,2387300
2021-09-29,43350,43450,43000,43350,1911200
2021-09-30,43250,44700,43250,44000,3404700
2021-10-01,44000,44200,43600,43850,1734200
2021-10-04,43800,44000,43550,43900,1565200
2021-10-05,43900,44400,43550,44300,2370600
2021-10-06,44400,44500,44050,44300,1736800
2021-10-07,44150,44750,44150,44400,2290900
2021-10-08,44500,44750,44400,44650,1298500
2021-10-11,44700,46000,44700,45950,2694300
2021-10-12,46000,46500,46000,46450,2438700
2021-10-13,46500,46900,46400,46550,2581200
2021-10-14,46600,46600,45750,46250,2677900
2021-10-15,46250,46500,46000,46300,1553700
2021-10-18,46150,46450,45550,46300,2039400
2021-10-19,46300,46350,45750,46200,1686700
2021-10-20,46150,46250,44950,46150,3128600
2021-10-21,45850,46300,45500,45500,2847400
2021-10-22,45500,45900,45400,45900,1428000
2021-10-25,45950,46250,45600,46050,1341200
2021-10-26,45900,46100,45450,46100,1335900
2021-10-27,46000,47500,45800,47500,3908900
2021-10-28,47500,47700,46800,47500,2086100
2021-10-29,47100,48250,47100,47900,2268000
2021-11-01,47900,48000,47450,47900,2226600
2021-11-02,47850,48000,47450,47900,1647800
2021-11-03,47900,47900,46950,47650,3568200
2021-11-04,47600,47750,47000,47500,1879100
2021-11-05,47250,47500,47000,47500,1786600
2021-11-08,47500,47750,47250,47450,1792000
2021-11-09,47700,47700,46600,47450,2373800
2021-11-10,47550,47600,46800,47450,1680500
2021-11-11,47450,47500,46950,47400,2186600
2021-11-12,47400,47400,46950,47250,1133100
