Date,Open,High,Low,Close,Volume
2022-12-16,64050,64950,63970,64280,3002000
2022-12-19,64690,64690,63460,63460,2422700
2022-12-20,63720,65690,63380,64879,3030300
2022-12-21,65690,66440,65519,65690,2305500
2022-12-22,66540,66700,64610,64610,1587300
2022-12-23,64680,65600,63940,63940,1561800
2022-12-26,64090,65120,63680,63770,1657600
2022-12-27,64430,64430,63770,64260,262800
2022-12-27,64260,65440,63940,64260,1586800
2022-12-28,64349,65440,64260,64610,1188500
2022-12-29,64930,65600,64610,64610,1329700
2022-12-30,65440,65440,63840,63840,1199300
2023-01-03,64190,65860,63940,65860,1496000
2023-01-04,66020,66540,65950,66540,1089800
2023-01-05,66540,68300,66280,68120,2469800
2023-01-06,67950,68120,66780,66950,1269700
2023-01-09,67040,67710,66780,67710,948300
2023-01-10,67870,68380,67630,67950,1196000
2023-01-11,67950,68460,66610,66610,1534700
2023-01-12,67040,67290,66540,67110,684900
2023-01-13,67290,68040,67210,67630,1449000
2023-01-16,67630,67790,66610,66610,654700
2023-01-17,67290,67950,66610,67870,1671400
2023-01-18,67870,68380,67710,68200,1297900
2023-01-19,67790,68380,67110,68200,2627700
2023-01-27,68300,68720,66780,67110,2331800
2023-01-30,67110,67110,66610,66610,1614000
2023-01-31,66460,66700,64510,64680,4817500
2023-02-01,65190,65290,64510,64760,1810400
2023-02-02,64930,65019,64349,64349,1494400
2023-02-03,64610,64680,63680,63770,1855200
2023-02-06,63680,65019,63680,64930,1910700
2023-02-07,65120,65120,63840,63840,1274400
2023-02-08,63940,64260,63510,63590,1550000
2023-02-09,63590,63770,62940,62940,1593600
2023-02-10,62940,63680,62940,63680,1236100
2023-02-13,63680,63680,62160,63180,1569000
2023-02-14,63180,63510,62420,62680,1073500
2023-02-15,62680,63770,62420,63770,1443500
2023-02-16,63770,64190,63420,64190,691300
2023-02-17,63840,64090,63180,63770,777000
2023-02-20,63770,65019,63330,65019,1385300
2023-02-21,65019,65120,64349,64760,888300
2023-02-22,64019,64349,63330,63330,1295600
2023-02-23,63330,64510,62420,63510,2327900
2023-02-24,63510,63770,62510,62680,1681000
2023-02-27,62680,63680,62080,63080,1112500
2023-02-28,63330,63680,63010,63330,1034300
2023-03-01,63010,64610,62940,64510,1635500
2023-03-02,64510,64510,63840,64190,1088800
2023-03-03,62940,64430,62940,63770,704200
2023-03-06,63770,64260,62940,62940,891800
2023-03-07,63680,63940,63330,63590,1170900
2023-03-08,63080,64190,62940,64190,1244400
2023-03-09,63940,64680,63940,64190,1389700
2023-03-10,64190,64760,63840,64510,1427700
2023-03-13,64430,64680,64260,64510,1824500
2023-03-14,64019,64510,63420,64260,1735100
2023-03-15,64260,64860,64190,64680,1960200
2023-03-16,64610,64680,63680,64090,1529200
2023-03-17,64090,64090,62510,62510,2432800
2023-03-20,62940,62940,62160,62340,1609600
2023-03-21,62420,63010,62250,62420,1350200
2023-03-22,62590,62680,62420,62420,710300
2023-03-23,62340,63180,62080,62760,1194400
2023-03-24,62940,63330,62760,62840,850300
2023-03-27,62940,62940,62340,62420,1212200
2023-03-28,62510,63180,62420,62590,1437800
2023-03-29,62680,62840,62420,62510,842100
2023-03-30,62680,63260,62590,63010,781300
2023-03-31,62940,63260,62420,62420,877700
2023-04-03,62590,62840,62250,62680,775400
2023-04-04,62420,62510,62250,62420,1659100
2023-04-05,62250,62760,62160,62420,903000
2023-04-06,62420,62590,62340,62340,866600
2023-04-07,62420,62680,62340,62680,702800
2023-04-10,62680,62680,62510,62590,764400
2023-04-11,62340,62510,62160,62420,717800
2023-04-12,62420,62420,62080,62080,910700
2023-04-13,62340,62420,61670,61750,812500
2023-04-14,61750,61850,61080,61080,1214800
2023-04-17,61080,61160,60150,60410,1216500
2023-04-18,60240,60660,60240,60500,712600
2023-04-19,61330,61330,60410,60410,690300
2023-04-20,60500,60900,60240,60730,783700
2023-04-21,60410,60410,59400,59740,971800
2023-04-24,59560,59640,58900,59150,1134600
2023-04-25,59150,59890,58550,58550,1267500
2023-04-26,58730,59500,58730,59500,858700
2023-04-27,59560,59560,58310,58550,1226400
2023-04-28,58550,58900,58480,58640,760200
2023-05-04,58730,58730,57380,57730,2491100
2023-05-05,57550,58060,57550,57880,660100
2023-05-08,57880,59070,57880,58810,1101700
2023-05-09,59400,59560,59150,59400,809200
2023-05-10,59400,59640,59150,59230,826800
2023-05-11,59150,59500,58730,58730,412100
2023-05-12,59070,59070,58310,58310,868600
2023-05-15,58640,58640,57880,57980,1436500
2023-05-16,57880,58480,57880,58390,1308100
2023-05-17,58480,58480,57730,57980,1788600
2023-05-18,57880,58730,57460,58150,2416100
2023-05-19,58240,58310,57550,57730,1059600
2023-05-22,57640,57880,57290,57290,1598700
2023-05-23,57060,57380,56200,56290,2671700
2023-05-24,56290,56540,55450,55640,2350000
2023-05-25,55540,56630,55380,56290,1305500
2023-05-26,56540,57060,56290,56290,904500
2023-05-29,56460,56810,56290,56290,1043600
2023-05-30,56290,56540,55790,55790,1770500
2023-05-31,56030,56030,55450,55450,1466600
2023-06-01,55450,55790,55380,55450,1214500
2023-06-02,55540,55640,54940,55290,2969700
2023-06-05,55790,56380,55540,55790,3323000
2023-06-06,56130,56130,55380,55720,3423000
2023-06-07,55790,55960,55380,55540,3719000
2023-06-08,55790,55790,54940,54940,5036500
2023-06-09,55040,55790,54940,55190,2080200
2023-06-12,55380,57060,55380,56980,5450300
2023-06-13,57140,57290,56630,56720,4943400
2023-06-14,56810,57210,56290,56290,4910200
2023-06-15,56460,56540,55540,55640,4687800
2023-06-16,55790,55890,55380,55450,5993000
2023-06-19,55640,55890,55040,55190,3279400
2023-06-20,55290,55290,54940,54940,2963000
2023-06-21,55040,55640,54940,55640,3490900
2023-06-22,55790,56460,55640,56130,5610600
2023-06-23,56200,58310,56200,57980,11958000
2023-06-26,58150,59320,57290,59230,10737800
2023-06-27,59400,59400,58390,59150,5978900
2023-06-28,59150,59500,58480,59230,6154700
2023-06-29,59230,60730,58810,60330,7698400
2023-06-30,60330,60410,59400,59560,3645000
2023-07-03,59640,59890,58980,59320,3186200
2023-07-04,59150,59740,58810,59230,4781600
2023-07-05,59400,59400,58390,58550,6659200
2023-07-06,58640,59320,58550,59150,7631000
2023-07-07,59320,59740,59070,59500,5780500
2023-07-10,59890,60990,59740,60500,6171100
2023-07-11,60500,61590,60150,61080,5702300
2023-07-12,61160,61670,60900,61670,4195800
2023-07-13,61590,61920,61160,61330,3783500
2023-07-14,61410,61590,60500,61500,5209700
2023-07-17,61240,61750,60580,60660,3922800
2023-07-18,60830,60900,60580,60730,2930000
2023-07-19,60830,61240,60730,60900,2945100
2023-07-20,60900,61080,60660,60900,2600700
2023-07-21,60900,61670,60830,61670,3341800
2023-07-24,61670,62080,61500,61750,2535300
2023-07-25,61750,62680,61330,62510,4245900
2023-07-26,62420,63080,62340,62940,3189700
2023-07-27,62940,63590,62760,63510,4178200
2023-07-28,63590,65190,63420,64930,5473600
2023-07-31,64860,65770,64760,65440,3364900
2023-08-01,65440,65440,63770,63770,5730800
2023-08-02,63770,64190,63180,63840,2678900
2023-08-03,64250,64250,62950,62950,2917600
2023-08-04,62850,63280,62420,63280,3165200
2023-08-07,63200,64920,62680,64920,4317900
2023-08-08,64750,64920,64069,64590,3430500
2023-08-09,64590,64590,63100,63360,3705000
2023-08-10,63360,64150,63200,63360,2733200
2023-08-11,63360,63720,62770,63720,2181300
2023-08-14,63630,63720,62850,63630,3066500
2023-08-15,63200,63630,63030,63100,2219700
2023-08-16,63100,63720,62850,63360,2083900
2023-08-17,63360,64590,63200,63820,4580900
2023-08-18,63720,64849,62510,63550,7106200
2023-08-21,63030,63980,63030,63200,3055200
2023-08-22,63450,63450,61650,63030,3075100
2023-08-23,62770,63820,62060,63720,3072800
2023-08-24,63720,64920,63280,64750,4419900
2023-08-25,65290,65290,64400,64920,2751400
2023-08-28,65019,67710,65019,67530,5466800
2023-08-29,67190,67270,66050,67090,4199900
2023-08-30,66740,68050,66320,67450,2659700
2023-08-31,67190,68400,66830,67450,3836000
2023-09-05,68050,69790,67710,69430,6839900
2023-09-06,69430,69430,68930,69360,2280400
2023-09-07,69260,69360,68130,68930,3526700
2023-09-08,68670,69430,68570,69360,2774900
2023-09-11,69360,70290,67270,68930,4234900
2023-09-12,68490,69970,67870,69610,2668500
